,survey_timestamp,recommend_rating,what_motivated,what_helpful,what_change,how_often,how_often_other,days_week,times_day,future_topics,referral_source,host_name,session_date,session_name,record_id,response_id,session_id,as often as offered,every month,every six months,every three months,every two months,not interested,often_other,Mon,Tue,Wed,Thu,Fri,Sat,Sun,afternoon,evening,lunch,morning,cobalt,email,friend/colleague,hr,limeaid,referral_other,pm report,poster/flyer,wellfocused,resp_concat_text,resp_concat_text_wc
0,2023-06-21 10:20:09,7.0,stress,all,,every three months,,"tuesday,,wednesdsay,,thursday","monring,,lunch",,pm report,erica,2023-06-14,staying effective when burned out,0,0,0,False,False,False,True,False,False,False,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,stress all,2
1,2023-06-21 10:33:07,6.0,the topic,,,every month,,"monday,,tuesday","morning,lunch",,pm report,erica,2023-06-14,staying effective when burned out,1,1,0,False,True,False,False,False,False,False,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,the topic,2
2,2023-06-21 11:27:29,10.0,feeling burnt out,affirmations of what i know i need to do and other practical ways to combat burnout,,every two months,,"monday,,friday",lunch,,pm report,erica,2023-06-14,staying effective when burned out,2,2,0,False,False,False,False,True,False,False,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,feeling burnt out affirmations of what i know i need to do and other practical ways to combat burnout,19
3,2023-06-23 16:27:33,5.0,burn out,,real talk about the hospital,not interested,,,,they kept it general instead of talking about real work stressors and dealing with them,,erica,2023-06-14,staying effective when burned out,3,3,0,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,burn out  real talk about the hospital they kept it general instead of talking about real work stressors and dealing with them,22
4,2023-07-07 13:06:56,9.0,i wanted one of my employees to attend,i liked the shift in perspective,,every month,,friday,"morning,,lunch",,pm report,erica,2023-07-06,improving the relationship with yourself,4,0,1,False,True,False,False,False,False,False,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,i wanted one of my employees to attend i liked the shift in perspective,14
5,2023-07-07 14:18:17,8.0,personal goals,topic,more resources if available,every month,,friday,afternoon,,pm report,erica,2023-07-06,improving the relationship with yourself,5,1,1,False,True,False,False,False,False,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,personal goals topic more resources if available,7
6,2023-07-10 09:58:51,9.0,the content was interesting and could be applicable to my life.,,,every month,,"wednesday,,thursday,,friday","morning,,lunch,,afternoon",,wellfocused calendar,erica,2023-07-06,improving the relationship with yourself,6,2,1,False,True,False,False,False,False,False,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,the content was interesting and could be applicable to my life.,11
7,2023-07-10 10:26:42,10.0,the value of the subject matter to my work,"excellent presentation, warm and real presenter","more time dedicated to written exercise (said ""5 min"" but it had to have been much less)",every month,,"monday,,wednesday,,friday",lunch,this topic interests me greatly,pm report,erica,2023-07-06,improving the relationship with yourself,7,3,1,False,True,False,False,False,False,False,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"the value of the subject matter to my work excellent presentation, warm and real presenter more time dedicated to written exercise (said ""5 min"" but it had to have been much less) this topic interests me greatly",37
8,2023-07-14 11:32:00,10.0,i am a hospice nurse,how important compassion can be,group participation,every month,,tuesday,morning,how to remain positive,pm report,erica,2023-07-13,coping with grief and loss,8,0,2,False,True,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,i am a hospice nurse how important compassion can be group participation how to remain positive,16
9,2023-07-14 11:32:00,9.0,divorce,learning about grief,needed to be an hour,every month,,"tuesday,,wednesday,,thursday",lunch,"moving on after a loss, coping.",pm report,erica,2023-07-13,coping with grief and loss,9,1,2,False,True,False,False,False,False,False,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"divorce learning about grief needed to be an hour moving on after a loss, coping.",15
