,survey_timestamp,recommend_rating,what_motivated,what_helpful,what_change,how_often,how_often_other,days_week,times_day,future_topics,referral_source,host_name,session_date,session_name,record_id_orig,response_id_orig,session_id_orig,as often as offered,every month,every six months,every three months,every two months,not interested,often_other,Mon,Tue,Wed,Thu,Fri,Sat,Sun,afternoon,evening,lunch,morning,cobalt,email,friend/colleague,hr,limeaid,referral_other,pm report,poster/flyer,wellfocused,resp_concat_text,resp_concat_text_wc,learn_skills_rating,use_skills_rating,cope_wellbeng_rating,satisfied_session_rating,host_id,session_id,response_id,record_id
0,2023-06-21 10:20:09,7.0,stress,all,,every three months,,"tuesday,,wednesdsay,,thursday","monring,,lunch",,pm report,erica,2023-06-14,staying effective when burned out,0,0,0,False,False,False,True,False,False,False,0,1,1,1,0,0,0,0,0,1,1,0.0,0,0,0.0,0,0,1,0.0,0,stress all,2,,,,,0,0,0,0
1,2023-06-21 10:33:07,6.0,the topic,,,every month,,"monday,,tuesday","morning,lunch",,pm report,erica,2023-06-14,staying effective when burned out,1,1,0,False,True,False,False,False,False,False,1,1,0,0,0,0,0,0,0,1,1,0.0,0,0,0.0,0,0,1,0.0,0,the topic,2,,,,,0,0,1,1
2,2023-06-21 11:27:29,10.0,feeling burnt out,affirmations of what i know i need to do and other practical ways to combat burnout,,every two months,,"monday,,friday",lunch,,pm report,erica,2023-06-14,staying effective when burned out,2,2,0,False,False,False,False,True,False,False,1,0,0,0,1,0,0,0,0,1,0,0.0,0,0,0.0,0,0,1,0.0,0,feeling burnt out affirmations of what i know i need to do and other practical ways to combat burnout,19,,,,,0,0,2,2
3,2023-06-23 16:27:33,5.0,burn out,,real talk about the hospital,not interested,,,,they kept it general instead of talking about real work stressors and dealing with them,,erica,2023-06-14,staying effective when burned out,3,3,0,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,burn out  real talk about the hospital they kept it general instead of talking about real work stressors and dealing with them,22,,,,,0,0,3,3
4,2023-06-20 11:41:00,,personal ptsd,the overview of ptsd,make it an hour instead of only half hour,,,"monday,,tuesday,,thursday,,friday","lunch,,afternoon",,pm report,lily,2023-06-19,recognizing trauma and ptsd,0,0,0,,,,,,,,1,1,0,1,1,0,0,1,0,1,0,,0,0,,0,0,1,,0,personal ptsd the overview of ptsd make it an hour instead of only half hour,15,4.0,7.0,4.0,5.0,1,1,0,4
5,2023-06-29 11:56:00,,depression,mrs. brown is personable and mindful of chat questions.,,,,,,,"pm report, wellfocused",lily,2023-06-28,family check-in,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1,,1,depression mrs. brown is personable and mindful of chat questions.,10,4.0,7.0,4.0,5.0,1,2,0,5
6,2023-06-29 12:08:00,,i've attended many talks by dr. lily brown in the past and she keeps me coming back for more.,"dr. lily brown is phenomenal. she backs up her talks with research, but keeps the conversation in everyday language and relatable.",,,,"all,days","morning,,lunch,,afternoon",pregnancy/postpartum related anxiety/depression/stress,"pm report, wellfocused, limeaid",lily,2023-06-28,family check-in,2,1,1,,,,,,,,1,1,1,1,1,1,1,1,0,1,1,,0,0,,1,0,1,,1,"i've attended many talks by dr. lily brown in the past and she keeps me coming back for more. dr. lily brown is phenomenal. she backs up her talks with research, but keeps the conversation in everyday language and relatable.  pregnancy/postpartum related anxiety/depression/stress",43,4.0,6.0,3.0,5.0,1,2,1,6
7,2023-06-30 09:23:00,,,,,,,,,,,lily,2023-06-28,family check-in,3,2,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,,0,4.0,6.0,3.0,5.0,1,2,2,7
8,2023-07-07 13:06:56,9.0,i wanted one of my employees to attend,i liked the shift in perspective,,every month,,friday,"morning,,lunch",,pm report,erica,2023-07-06,improving the relationship with yourself,4,0,1,False,True,False,False,False,False,False,0,0,0,0,1,0,0,0,0,1,1,0.0,0,0,0.0,0,0,1,0.0,0,i wanted one of my employees to attend i liked the shift in perspective,14,,,,,0,3,0,8
9,2023-07-07 14:18:17,8.0,personal goals,topic,more resources if available,every month,,friday,afternoon,,pm report,erica,2023-07-06,improving the relationship with yourself,5,1,1,False,True,False,False,False,False,False,0,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0.0,0,0,1,0.0,0,personal goals topic more resources if available,7,,,,,0,3,1,9
